MinTemp,MaxTemp,Rainfall,Sunshine,WindGustSpeed,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp3pm,Rain Today,Rain Tomorrow
5.9,20.0,5.4,8.388787028330498,39.0,52.0,31.0,3.0,2.0,18.9,1,0
4.0,20.0,0.2,5.923031944975148,17.0,98.0,58.0,6.0,5.0,17.8,0,0
20.3,38.4,3.6,6.5,39.0,50.0,18.0,7.0,6.0,37.4,1,0
19.4,21.6,0.0,8.275428696484822,43.0,69.0,63.0,5.0,5.0,19.9,0,0
11.4,22.6,0.0,2.5,28.0,73.0,57.0,4.0,8.0,21.7,0,0
5.1,14.4,0.0,5.257154946714394,41.0,98.0,77.0,7.0,7.0,12.9,0,0
25.7,39.7,0.0,13.0,50.0,26.0,18.0,1.0,4.0,37.9,0,0
4.5,23.8,0.2,8.696364555539786,35.0,63.0,37.0,4.0,4.0,22.9,0,0
8.5,23.8,0.0,6.212512210652879,19.0,100.0,54.0,6.0,5.0,23.4,0,0
4.7,11.9,5.0,3.9855495477134832,54.0,80.0,57.0,7.0,8.0,10.8,1,0
10.0,20.6,0.0,10.977258029451407,35.0,66.0,65.0,4.0,1.0,16.7,0,0
7.3,25.0,0.0,11.97607352684254,19.0,52.0,19.0,5.0,0.0,24.4,0,0
2.7,16.7,0.2,8.819751356446096,20.0,79.0,56.0,6.0,5.0,16.0,0,0
7.0,14.2,0.0,1.9,33.0,62.0,60.0,4.0,7.0,12.3,0,0
13.0,21.7,11.0,10.1,61.0,54.0,32.0,1.0,1.0,21.2,1,0
16.8,24.6,0.0,11.0,49.3,39.0,37.0,1.0,1.0,24.2,0,0
19.0,28.2,3.6,8.80599163695998,59.0,58.0,67.0,4.0,5.0,26.2,1,0
6.8,19.7,0.0,11.9,43.0,89.0,54.0,2.0,2.0,18.4,0,0
-0.6,18.3,0.0,9.8,26.0,66.0,27.0,0.0,0.0,17.8,0,0
8.6,17.0,0.0,5.1,35.9,66.0,75.0,7.0,7.0,15.1,0,0
5.7,14.0,0.0,4.854316349190984,22.0,80.0,69.0,6.0,6.0,12.6,0,0
21.1,29.2,2.0,6.5,31.0,79.0,54.0,6.0,6.0,27.8,1,0
23.7,33.3,0.0,12.2,50.0,51.0,38.0,3.0,3.0,31.9,0,0
13.4,30.1,0.0,11.1,28.0,57.0,37.0,3.0,0.0,29.1,0,0
13.8,24.2,0.0,10.470684132611868,31.0,53.0,59.0,6.0,5.0,21.8,0,0
16.7,21.3,0.0,4.574587584385685,76.0,73.0,36.0,8.0,6.0,17.9,0,0
14.4,20.8,2.6,7.1,48.0,84.0,46.0,7.0,7.0,19.2,1,0
16.2,21.8,4.6,7.314934539017256,35.0,84.0,64.0,6.0,6.0,21.1,1,0
16.1,30.5,0.0,9.6,46.0,57.0,62.0,2.0,1.0,26.1,0,0
8.1,18.7,0.2,7.995183182571161,41.0,41.0,29.0,3.0,3.0,17.4,0,0
3.4,18.3,0.0,8.166666666666666,31.0,50.0,26.0,2.0,3.0,17.6,0,0
8.1,17.8,0.4,4.855848529200121,17.0,91.0,60.0,6.0,6.0,17.2,0,0
21.0,25.2,0.0,3.9855495477134832,29.5,72.0,71.0,8.0,8.0,23.0,0,0
17.4,33.9,0.0,10.028118552061294,33.0,69.0,28.0,4.0,4.0,32.1,0,0
12.2,21.1,0.4,9.31256553379952,33.0,84.0,50.0,5.0,5.0,20.7,0,0
18.0,26.3,15.6,7.4,28.0,89.0,62.0,6.0,1.0,25.4,1,0
13.9,20.1,0.0,6.5,35.0,85.0,68.0,6.0,4.0,18.4,0,0
13.9,22.9,4.2,8.656391000155095,43.0,67.0,51.0,4.0,4.0,21.1,1,0
13.1,26.5,0.0,8.3,31.0,59.0,53.0,1.0,5.0,25.0,0,0
16.9,21.8,13.6,7.151574182726255,46.0,80.0,78.0,6.0,6.0,21.4,1,0
21.6,30.2,0.2,10.0,35.0,54.0,46.0,4.0,3.0,27.6,0,0
5.0,25.0,0.0,8.669399150053673,26.0,45.0,14.0,2.0,3.0,24.1,0,0
